,id_str,screen_name,location
0,982792785106481152,Yoder_904,
1,28984533,Actuallyjeremy,Pennsylvania by way of Marion
2,993155620160311297,katelinpqljisaj,
3,993157892214837248,RohanTa34833861,
4,849659635036332032,BTS_YNWA_HB,Hope World
5,971222298622480384,AOriolt,
6,484067386,NiallHigham8,"North East, England"
7,985578882,jernathanjay,Canada
8,352716545,KingLouie55,"Chicago, IL "
9,217979109,RoadHS,Mexico
10,993158096141856768,Dark_angel0203,
11,993157979066241024,farnooshdadashi,
12,400160205,vkymyers,
13,2495417358,Sphynxyy,"Everywhere, all at once"
14,59027265,BoozePower,
15,993158032824655873,zeynabgolestane,
16,67958975,AlyceRocha_x,London
17,4886133424,Ban3y_,
18,2257081158,Armumi,
19,944587573053280256,LazarAndreiIon1,
20,962168017,ProTrader88,
21,993158713874833408,ronniobrien6,
22,993158746389049344,yasukofinch10,
23,555000981,SamanthaPaskett,
24,4122407853,TheAbomCow,
25,993158535524610048,ekb349,
26,4922591952,SaraLop26242675,"Lehi, UT"
27,786298493895741440,vicejunky,"Minneapolis, MN"
28,993157636412538881,shaelin89,
29,3737894773,Treythayer1,
30,4735873488,VaishS_,
31,420201552,rajagarwal9890,"pune,india"
32,47615379,rufsure,
33,56973870,malleolus1,London
34,993157484985626624,DwobengMark,
35,1895503176,estopfany,
36,993157253870964739,Mddeloe,
37,4439038276,PatrickBourke24,
38,22782986,1987mrtc,Birmingham
39,993158093511983104,Bach27400253,
40,813535957140074496,dumbtweetering,
41,748171602106318850,lezluhlee,"Los Angeles, CA"
42,993157057367953408,AinembabaziJo13,
43,2325675031,JoseGMartinez86,
44,993158476527529986,Marie198908,"Kolín, Česká republika"
45,993156599333117953,Mahendr47394966,
46,4571888253,haydenlovesGod,"Bolivar, MO"
47,2563717520,schwindy_13,
48,4899341277,Gegga_gaming,Sverige
49,320203341,waghrohit1612,
50,405901919,sfgiantsfan55,
51,993156910160531456,Couliba01558122,
52,4473796360,nikoszarv22,
53,123554295,besomflyer,"Kirkland, WA"
54,2464843795,xlrr344,
55,790080512047980544,ihyilyxo,
56,992036043087106048,daddyobunyun,"Joplin, MO"
57,993158248239849472,RafaLemusLIBERT,
58,158229252,nbvasudevan,INDIA
59,1592525142,alejhanhan,
60,924816601014325248,bwill766,
61,850397513098178560,dcldlvr,
62,2153102842,BryanKelel,"Milford, MI"
63,738901771528081408,pedroswordld,"Goshen, IN"
64,704413207,zachcarter10,elizabethton tennessee
